Reward Name,SKU,Shipping Cost,Handling Cost,Service Charge,ID
Qanz Card (25 OMR),OM-QAN0001,13,2,2,0
Qanz Card (35 OMR),OM-QAN0002,13,2,2,0
Qanz Card (50 OMR),OM-QAN0003,13,3,3,0
Qanz Card (25 OMR),OM-QAN0009,13,2,2,0
Qanz Card (35 OMR),OM-QAN0010,13,2,2,0
Qanz Card (50 OMR),OM-QAN0011,13,3,3,0
Qanz Card (25 OMR),OM-QAN0013,13,2,2,0
Qanz Card (35 OMR),OM-QAN0014,13,2,2,0
Qanz Card (50 OMR),OM-QAN0015,13,3,3,0
Qanz Card (150 OMR),OM-QAN0016,13,3.5,3.5,0
Qanz Card (25 OMR),OM-QAN0017,13,2,2,0
Qanz Card (35 OMR),OM-QAN0018,13,2,2,0
Qanz Card (50 OMR),OM-QAN0019,13,3,3,0
Victoria's Secret Cosmetics Gift Card (30 OMR),OM-VS0001,13,2,2,0
Victoria's Secret Cosmetics Gift Card (50 OMR),OM-VS0002,13,3,3,0
Victoria's Secret Cosmetics Gift Card (100 OMR),OM-VS0003,13,3,3,0
Mother Care Gift Card (30 OMR),OM-MC0001,13,2,2,0
Mother Care Gift Card (50 OMR),OM-MC0002,13,3,3,0
Mother Care Gift Card (100 OMR),OM-MC0003,13,3,3,0
Mother Care Gift Card (150 OMR),OM-MC0004,13,3.5,3.5,0
Bath & Body Works Gift Card (100 OMR),OM-BBW0001,13,3,3,0
Bath & Body Works Gift Card (30 OMR),OM-BBW0002,13,3,3,0
Bath & Body Works Gift Card (50 OMR),OM-BBW0003,13,3,3,0
Muscat Watch Center Gift Card (25 OMR),OM-MWC0001,0,8,0,0
Muscat Watch Center Gift Card (50 OMR),OM-MWC0002,0,10,0,0
Muscat Watch Center Gift Card (75 OMR),OM-MWC0003,0,13,0,0
Malabar Jewelry Gift Card (30 OMR),OM-MAJ0001,13,2,2,0
Malabar Jewelry Gift Card (60 OMR),OM-MAJ0002,13,3,3,0
Malabar Jewelry Gift Card (50 OMR),OM-MAJ0003,13,3,3,0
Malabar Jewelry Gift Card (100 OMR),OM-MAJ0004,13,3,3,0
Damas Jewelry Gift Card (30 OMR),OM-DAJ0001,13,2,2,0
Damas Jewelry Gift Card (40 OMR),OM-DAJ0002,13,2,2,0
Damas Jewelry Gift Card (50 OMR),OM-DAJ0003,13,3,3,0
Matalan Gift Card (30 OMR),OM-MTJ0001,13,2,2,0
Rivoli Group Gift Card (30 OMR),OM-RG0001,13,2,2,0
Rivoli Group Gift Card (40 OMR),OM-RG0002,13,2,2,0
Borders Book Voucher (25 OMR),OM-BOB0001,13,2,2,0
Borders Book Voucher (30 OMR),OM-BOB0002,13,2,2,0
Borders Book Voucher (25 OMR),OM-BOB0003,13,2,2,0
Borders Book Voucher (30 OMR),OM-BOB0004,13,2,2,0
Marks & Spencer (30 OMR),OM-MS0001,13,2,2,0
Marks & Spencer (50 OMR),OM-MS0002,13,3,3,0
Marks & Spencer (100 OMR),OM-MS0003,13,3,3,0
Marks & Spencer (150 OMR),OM-MS0004,13,3.5,3.5,0
Lulu Hypermarket (30 OMR),OM-LUH0007,0,8,0,0
Lulu Hypermarket (40 OMR),OM-LUH0008,0,8,0,0
Lulu Hypermarket (50 OMR),OM-LUH0009,0,10,0,0
Qanz Card (25 OMR),OM-QAN0020,13,2,2,0
Qanz Card (35 OMR),OM-QAN0021,13,2,2,0
Qanz Card (50 OMR),OM-QAN0022,13,3,3,0
Qanz Card (25 OMR),OM-QAN0023,13,2,2,0
Qanz Card (35 OMR),OM-QAN0024,13,2,2,0
Qanz Card (50 OMR),OM-QAN0025,13,2,2,0
BHS Gift Card (100 OMR),OM-BHS0002,13,3,3,0
Apple Store e-Gift Card - US Store(30 OMR),OM-APP0005,0,0,6,0
Apple Store e-Gift Card - US Store (50 OMR),OM-APP0006,0,0,6,0
Apple Store e-Gift Card - US Store (100 OMR),OM-APP0007,0,0,6,0
Carrefour Voucher (30 OMR),OM-CAR0002,13,2,2,0
Qanz Card (25 OMR),OM-QAN0026,13,2,2,0
Qanz Card (35 OMR),OM-QAN0027,13,2,2,0
Qanz Card (50 OMR),OM-QAN0028,13,3,3,0
City Center Muscat Gift Card (30 OMR),OM-CTM001,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM003,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM005,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM007,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM009,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM011,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM013,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM015,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM017,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM019,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM021,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM023,11,2,2,0
City Center Muscat Gift Card (30 OMR),OM-CTM025,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM002,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM004,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM006,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM008,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM010,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM012,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM014,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM016,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM018,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM020,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM022,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM024,11,2,2,0
City Center Muscat Gift Card (50 OMR),OM-CTM026,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ001,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ003,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ005,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ007,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ009,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ011,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ013,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ015,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ017,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ019,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ021,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ023,11,2,2,0
City Center Qurum Gift Card (30 OMR),OM-CTQ025,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ002,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ004,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ006,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ008,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ010,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ012,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ014,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ016,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ018,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ020,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ022,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ024,11,2,2,0
City Center Qurum Gift Card (50 OMR),OM-CTQ026,11,2,2,0
Apple Store e-Gift Card - US Store(30 OMR),OM-APP0008,0,0,6,0
Apple Store e-Gift Card - US Store (50 OMR),OM-APP0009,0,0,6,0
Apple Store e-Gift Card - US Store (100 OMR),OM-APP0010,0,0,6,0
Wardat Qaboos Perfume Woman 100ML,OM-QAB001,11,2,2,0
Amouage Lilac Love Woman 100 ML,OM-AMO001,11,3,3,0
Amouage Blossom Love Woman 100 ML,OM-AMO002,11,3,3,0
Four Seasons e-Gift Card (2500 OMR),FS0027,0,0,10,0
